unique id,submission type,timestamp,citizenship,residence,gender,degrees held,occupation,career experience,academic field,area of interest,event participation,skills,how heard
31444299,submitted,6/6/16 17:31,India,United Kingdom,female,other degree,"phd candidate, postdoc",1-5 years,Natural Sciences - Biological sciences,open_access,none,"comms, fudraising",twitter
86435099,submitted,6/6/16 17:36,Kenya,Kenya,female,masters,educator,1-5 years,Social Sciences - Law,open_education,none,"advocacy, research",websearch
55378137,submitted,6/6/16 17:36,Tanzania,Tanzania,male,bachelors,librarian,6-10 years,Natural Sciences - Computer and information sciences,open_access,openaccessweek,"(None, None)","websearch, facebook"
39385227,submitted,6/6/16 17:36,India,India,male,"professional, other professional",medical professional,1-5 years,Medicine/Health Sciences - Clinical medicine,open_science,none,"advocacy, blogging, community, socialmedia, events, volunteers, research",mailinglist
11701518,final at deadline,6/6/16 17:36,Brazil,Brazil,male,bachelors,"graduate-professional student, journalist",16+ years,Social Sciences - Media and communications,open_research,none,"blogging, comms, socialmedia, other: Journalism",friend
26047033,submitted,6/6/16 17:39,United States of America,United States of America,female,"masters, other professional",librarian,1-5 years,Natural Sciences - Computer and information sciences,open_access,openaccessweek,"socialmedia, graphics",organization
70342585,submitted,6/6/16 17:40,United States of America,United States of America,male,"bachelors, masters, professional",librarian,16+ years,Social Sciences - Other social sciences,open_access,"openaccessweek, openeducationweek, opendataday","events, volunteers, research",mailinglist
46762236,submitted,6/6/16 17:40,Ghana,Ghana,male,masters,librarian,1-5 years,Natural Sciences - Computer and information sciences,open_access,openaccessweek,"advocacy, blogging, comms, socialmedia, research",twitter
66814855,submitted,6/6/16 17:43,Greece,Greece,female,"bachelors, masters",other,6-10 years,Engineering/Technology - Environmental engineering,open_education,none,"blogging, volunteers, research",mailinglist
58618582,submitted,6/6/16 17:45,Greece,Greece,female,"bachelors, masters",lawyer,1-5 years,Social Sciences - Law,open_access,none,"advocacy, blogging, comms, research",websearch
72258492,submitted,6/6/16 17:46,Nigeria,Nigeria,male,bachelors,undergraduate student,0-1 years,Natural Sciences - Computer and information sciences,open_research,none,comms,"websearch, facebook"
52924748,submitted,6/6/16 17:47,Serbia,Serbia,male,"professional, phd","educator, researcher",6-10 years,Medicine/Health Sciences - Basic medicine,open_access,none,blogging,websearch
57306211,submitted,6/6/16 17:47,Kenya,Kenya,female,none,undergraduate student,0-1 years,Agricultural Sciences - Other agricultural sciences,open_education,openeducationweek,community,websearch
54408076,submitted,6/6/16 17:48,Burma,Burma,male,bachelors,"researcher, nonprofit, developer",6-10 years,Engineering/Technology - Other engineering and technologies,open_research,opendataday,"blogging, community, research, software","websearch, twitter, mailinglist, organization"
93625184,submitted,6/6/16 17:50,Nigeria,Nigeria,female,other certification,undergraduate student,1-5 years,Medicine/Health Sciences - Clinical medicine,open_science,"openaccessweek, openeducationweek, opendataday","advocacy, comms, community, socialmedia, fudraising, events, volunteers, research","mailinglist, friend"
31169258,submitted,6/6/16 17:53,Canada,Canada,male,masters,librarian,6-10 years,Humanities - Other humanities,open_education,"openaccessweek, openeducationweek","blogging, events, volunteers, other, 'Teaching, Research",mailinglist
39647347,submitted,6/6/16 17:53,Nigeria,Nigeria,male,masters,"graduate-professional student, nonacademic staff, businessperson",1-5 years,Natural Sciences - Other natural sciences,open_science,none,"blogging, community","websearch, mailinglist"
14749069,submitted,6/6/16 17:54,Nigeria,Nigeria,female,"bachelors, other professional","graduate-professional student, researcher, government",6-10 years,Social Sciences - Economics and business,open_access,openaccessweek,"blogging, socialmedia, fudraising, volunteers, graphics, research, other, 'American Sign Language (ASL)","websearch, blogpost, mailinglist"
35508507,final at deadline,6/6/16 17:54,Pakistan,Pakistan,male,bachelors,"graduate-professional student, educator, researcher",1-5 years,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",open_education,openeducationweek,,
13283005,submitted,6/6/16 17:56,Sudan,Sudan,female,none,undergraduate student,1-5 years,Medicine/Health Sciences - Clinical medicine,open_education,none,"advocacy, comms, fudraising, events, volunteers, other, 'medical education skill , Basic life support , propaganda,professionalism and leadership",facebook
66657261,submitted,6/6/16 17:56,Bangladesh,Bangladesh,male,bachelors,researcher,1-5 years,Natural Sciences - Mathematics,open_research,opendataday,"comms, fudraising, events, volunteers, research",websearch
69786866,submitted,6/6/16 17:59,Uzbekistan,Uzbekistan,male,phd,"postdoc, educator",1-5 years,Social Sciences - Educational sciences,open_science,openeducationweek,"comms, community, research","friend, organization"
67015908,submitted,6/6/16 18:00,Colombia,Colombia,female,professional,graduate-professonal student,6-10 years,Social Sciences - Media and communications,open_access,"openaccessweek, openeducationweek","advocacy, blogging, comms, community, socialmedia, research, other, 'audio recording and edition",mailinglist
33045103,submitted,6/6/16 18:03,Sudan,Sudan,male,bachelors,"graduate-professional student, nonprofit, medical professional",1-5 years,Medicine/Health Sciences - Clinical medicine,open_science,openeducationweek,"advocacy, community, socialmedia, fudraising, volunteers",mailinglist
26204778,submitted,6/6/16 18:03,Philippines,Australia,female,bachelors,"graduate-professional student, government",1-5 years,Social Sciences - Political Science,open_education,none,"advocacy, blogging, socialmedia",mailinglist
70702992,submitted,6/6/16 18:04,India,United States of America,male,bachelors,graduate-professonal student,1-5 years,Natural Sciences - Computer and information sciences,open_research,opendataday,"blogging, events, research, software","websearch, mailinglist"
62590265,submitted,6/6/16 18:06,Egypt,Egypt,male,bachelors,undergraduate student,1-5 years,Medicine/Health Sciences - Clinical medicine,open_education,"openaccessweek, openeducationweek, opendataday","advocacy, socialmedia, fudraising, events, volunteers, video, research",mailinglist
50421016,submitted,6/6/16 18:08,Venezuela,Venezuela,female,professional,"educator, journalist, lawyer",6-10 years,Social Sciences - Law,open_access,"openaccessweek, opendataday","advocacy, blogging, comms, community, socialmedia, events, research",mailinglist
83503623,submitted,6/6/16 18:08,Nigeria,Russia,male,none,undergraduate student,0-1 years,Social Sciences - Economics and business,open_access,openaccessweek,"advocacy, blogging, comms, community, socialmedia",mailinglist
33592887,final at deadline,6/6/16 18:08,Kenya,Kenya,female,bachelors,nonacademic staff,1-5 years,Social Sciences - Media and communications,open_education,openeducationweek,"comms, community, socialmedia, events, video, research","facebook, friend"
18955250,submitted,6/6/16 18:09,Ghana,Ghana,male,bachelors,"researcher, nonprofit, businessperson",6-10 years,Social Sciences - Economics and business,open_access,none,"advocacy, blogging, comms, community, socialmedia, fudraising, volunteers, video, research",websearch
13373577,final at deadline,6/6/16 18:09,Ghana,Ghana,female,phd,researcher,6-10 years,"Agricultural Sciences - Agriculture, forestry, and fisheries",open_research,opendataday,"advocacy, community",friend
43946589,submitted,6/6/16 18:13,United States of America,United States of America,female,"bachelors, masters",phd candidate,0-1 years,Natural Sciences - Earth and related environmental sciences,open_access,none,advocacy,mailinglist
25595090,final at deadline,6/6/16 18:14,Nigeria,Nigeria,male,none,undergraduate student,0-1 years,Social Sciences - Law,open_access,none,"advocacy, comms, community, fudraising, events, volunteers, research",mailinglist
73184139,submitted,6/6/16 18:17,Pakistan,Pakistan,male,masters,phd candidate,0-1 years,Natural Sciences - Biological sciences,open_science,"openaccessweek, openeducationweek, opendataday","comms, community, fudraising, volunteers, graphics, video",websearch
88287153,submitted,6/6/16 18:17,Tanzania,Tanzania,male,bachelors,"undergraduate student, librarian",0-1 years,Natural Sciences - Computer and information sciences,open_access,openaccessweek,research,friend
33282805,submitted,6/6/16 18:19,United States of America,United States of America,female,masters,librarian,1-5 years,Humanities - History and archaeology,open_education,"openaccessweek, openeducationweek","advocacy, blogging, events, research",webcast
36115520,submitted,6/6/16 18:19,Jamaica,Jamaica,female,"bachelors, masters, phd","educator, nonacademic staff",16+ years,None of these describe my field of study,open_education,"openaccessweek, openeducationweek, opendataday","events, research",friend
11269209,submitted,6/6/16 18:22,Mexico,Mexico,male,bachelors,"educator, developer",1-5 years,Engineering/Technology - Other engineering and technologies,open_education,openaccessweek,"blogging, community, software","twitter, facebook, mailinglist"
20016984,submitted,6/6/16 18:22,Netherlands,Netherlands,male,"bachelors, masters","graduate-professional student, phd candidate",0-1 years,Social Sciences - Economics and business,open_science,openaccessweek,"blogging, research",friend
91560819,submitted,6/6/16 18:30,Cameroon,Cameroon,male,"bachelors, masters",phd candidate,1-5 years,Natural Sciences - Earth and related environmental sciences,open_education,openeducationweek,"community, socialmedia, fudraising, events, volunteers",mailinglist
42247292,submitted,6/6/16 18:31,Pakistan,Pakistan,male,masters,"graduate-professional student, educator, researcher",1-5 years,Humanities - Languages and literature,open_education,openeducationweek,"advocacy, blogging, comms, community, socialmedia, fudraising, events, volunteers, research",other: Updating emails from the opencon website
22073096,final at deadline,6/6/16 18:31,Turkey,United States of America,male,phd,"postdoc, other",0-1 years,Natural Sciences - Chemical sciences,open_research,none,blogging,mailinglist
65089487,submitted,6/6/16 18:32,Pakistan,Pakistan,male,bachelors,undergraduate student,1-5 years,Medicine/Health Sciences - Health sciences,open_access,none,"comms, community, socialmedia, research",friend
42370083,final at deadline,6/6/16 18:40,Dominican Republic,Dominican Republic,male,bachelors,"graduate-professional student, publisher, nonprofit",1-5 years,None of these describe my field of study,open_education,none,"blogging, socialmedia, volunteers, graphics",mailinglist
50036268,submitted,6/6/16 18:42,Netherlands,Netherlands,male,"bachelors, masters, phd","educator, publisher, businessperson",16+ years,Natural Sciences - Chemical sciences,open_access,openaccessweek,"(None, None)",twitter
41185932,submitted,6/6/16 18:43,Pakistan,Pakistan,female,bachelors,"undergraduate student, researcher, journalist",1-5 years,Natural Sciences - Biological sciences,open_research,"openaccessweek, opendataday","blogging, comms, community, volunteers, video, other, 'Event Report Writing",mailinglist
17772456,submitted,6/6/16 18:45,Malawi,Malawi,male,"bachelors, other professional","graduate-professional student, nonacademic staff, developer",1-5 years,Natural Sciences - Other natural sciences,open_education,"openaccessweek, openeducationweek","blogging, socialmedia, graphics, software, other, 'Learner management system development and support",friend
55779296,submitted,6/6/16 18:54,Liberia,Liberia,male,"bachelors, other professional","nonprofit, philanthropist, businessperson",6-10 years,Social Sciences - Economics and business,open_education,none,"advocacy, community, socialmedia, fudraising, volunteers",mailinglist
84816822,submitted,6/6/16 18:55,Pakistan,Pakistan,female,none,"undergraduate student, medical professional",0-1 years,Medicine/Health Sciences - Clinical medicine,open_access,none,"socialmedia, video",friend
24534214,submitted,6/6/16 18:58,Nigeria,Nigeria,male,none,"undergraduate student, researcher, businessperson",0-1 years,Social Sciences - Psychology,open_education,openeducationweek,"advocacy, blogging, comms, graphics, video, software",other: I have always followed opencon
92745246,submitted,6/6/16 19:01,United Kingdom,United States of America,female,"bachelors, masters, phd",nonprofit,1-5 years,Humanities - Languages and literature,open_access,"openaccessweek, openeducationweek","blogging, comms, socialmedia, research","websearch, twitter, mailinglist, friend"
12096115,submitted,6/6/16 19:01,United States of America,United States of America,male,masters,publisher,16+ years,Social Sciences - Other social sciences,open_education,none,research,mailinglist
36921486,submitted,6/6/16 19:03,Romania,Romania,male,"bachelors, masters, other postgraduate, other professional","researcher, developer",16+ years,Humanities - Other humanities,open_science,"openaccessweek, openeducationweek","advocacy, blogging, comms, community, events, graphics, research, software","websearch, mailinglist"
45519751,submitted,6/6/16 19:04,Nigeria,Nigeria,male,bachelors,"graduate-professional student, researcher, businessperson",1-5 years,Natural Sciences - Earth and related environmental sciences,open_access,"openaccessweek, openeducationweek","advocacy, comms, socialmedia, volunteers, graphics",organization
77355188,submitted,6/6/16 19:09,Nigeria,Nigeria,male,professional,"educator, researcher, medical professional",6-10 years,Medicine/Health Sciences - Health biotechnology,open_education,"openaccessweek, openeducationweek, opendataday","blogging, comms, socialmedia, volunteers, graphics, video","facebook, friend"
20757444,submitted,6/6/16 19:13,Kenya,Kenya,male,other certification,"undergraduate student, researcher, journalist",0-1 years,Social Sciences - Law,open_access,"openaccessweek, openeducationweek","blogging, community, socialmedia, research","mailinglist, organization"
49609754,submitted,6/6/16 19:13,Cameroon,Cameroon,male,bachelors,businessperson,1-5 years,Natural Sciences - Computer and information sciences,open_education,"openeducationweek, opendataday","blogging, socialmedia, software",websearch
15479276,submitted,6/6/16 19:13,Pakistan,Pakistan,male,bachelors,undergraduate student,0-1 years,None of these describe my field of study,open_education,none,"comms, community, volunteers",websearch
33254176,final at deadline,6/6/16 19:13,Guinea,Guinea,male,bachelors,undergraduate student,0-1 years,Social Sciences - Political Science,open_education,none,"blogging, socialmedia, volunteers","facebook, blogpost"
82311318,final at deadline,6/6/16 19:13,Ghana,Ghana,male,none,undergraduate student,0-1 years,Social Sciences - Other social sciences,open_education,none,"comms, community, events, volunteers",friend
81305533,submitted,6/6/16 19:14,India,India,male,bachelors,"graduate-professional student, developer",1-5 years,Natural Sciences - Computer and information sciences,open_source,opendataday,"blogging, socialmedia, volunteers, software, other, 'Photography",facebook
61841153,submitted,6/6/16 19:20,Nigeria,Nigeria,male,masters,"phd candidate, librarian",1-5 years,Social Sciences - Media and communications,open_education,openeducationweek,"comms, events, volunteers","websearch, friend"
65633859,submitted,6/6/16 19:22,Kenya,Kenya,male,bachelors,undergraduate student,0-1 years,Humanities - Languages and literature,open_education,openeducationweek,"comms, fudraising, volunteers",organization
46617968,submitted,6/6/16 19:23,Canada,Canada,female,"bachelors, masters",phd candidate,1-5 years,Social Sciences - Social and economic geography,open_access,none,"advocacy, blogging, community, socialmedia, events, volunteers, other, 'Fluent in French",organization
13782449,submitted,6/6/16 19:28,United States of America,United States of America,female,masters,librarian,6-10 years,Social Sciences - Other social sciences,open_research,"openaccessweek, opendataday","advocacy, blogging, community, research",organization
51686281,final at deadline,6/6/16 19:36,Nigeria,Nigeria,female,masters,businessperson,6-10 years,None of these describe my field of study,open_research,opendataday,"comms, community, volunteers",twitter
28544038,submitted,6/6/16 19:46,Ghana,Ghana,male,bachelors,"nonprofit, medical professional",1-5 years,Medicine/Health Sciences - Other medical sciences,open_education,openeducationweek,"advocacy, blogging, comms, community, socialmedia, volunteers",mailinglist
30704136,submitted,6/6/16 19:46,Australia,Australia,no answer,"bachelors, other postgraduate, other professional",lawyer,16+ years,Social Sciences - Law,open_education,"openaccessweek, openeducationweek, opendataday","advocacy, blogging, comms, community, socialmedia, research, software",mailinglist
49073904,submitted,6/6/16 19:47,Nigeria,Nigeria,male,bachelors,undergraduate student,1-5 years,Engineering/Technology - Other engineering and technologies,open_science,opendataday,"blogging, comms, socialmedia",mailinglist
17076785,submitted,6/6/16 19:53,Nigeria,Nigeria,male,bachelors,medical professional,1-5 years,Medicine/Health Sciences - Clinical medicine,open_access,openaccessweek,"advocacy, events, volunteers","websearch, friend"
16170065,final at deadline,6/6/16 19:58,Ukraine,United States of America,female,"bachelors, masters",graduate-professonal student,1-5 years,Humanities - Languages and literature,open_education,openeducationweek,"blogging, comms, socialmedia, fudraising, events","facebook, friend"
61071887,submitted,6/6/16 20:03,Nigeria,Nigeria,male,masters,"graduate-professional student, nonprofit",1-5 years,"Humanities - Art (arts, history of arts, performing arts, music)",open_education,openeducationweek,"advocacy, comms, community, socialmedia, events",friend
77346626,submitted,6/6/16 20:04,South Africa,South Africa,male,none,businessperson,1-5 years,Social Sciences - Economics and business,open_education,none,"socialmedia, events, volunteers",websearch
83293339,submitted,6/6/16 20:07,India,Poland,male,bachelors,graduate-professonal student,0-1 years,Engineering/Technology - Other engineering and technologies,open_source,openaccessweek,"volunteers, other, 'Artist/Musician",mailinglist
53570647,submitted,6/6/16 20:07,Tanzania,Tanzania,male,masters,phd candidate,1-5 years,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",open_government,none,"blogging, research, software",friend
87725268,submitted,6/6/16 20:11,Iran,Canada,male,bachelors,graduate-professonal student,1-5 years,Natural Sciences - Computer and information sciences,open_research,opendataday,"research, software",mailinglist
95432503,submitted,6/6/16 20:11,Nigeria,Nigeria,male,masters,"graduate-professional student, phd candidate",1-5 years,Social Sciences - Political Science,open_research,opendataday,"advocacy, community, events",facebook
52856266,submitted,6/6/16 20:17,Kenya,Kenya,female,bachelors,"journalist, lawyer",0-1 years,Social Sciences - Law,open_science,openaccessweek,"advocacy, blogging, research",friend
32763874,submitted,6/6/16 20:17,Kenya,Kenya,male,"bachelors, other postgraduate, other professional",graduate-professonal student,6-10 years,Social Sciences - Economics and business,open_research,"openaccessweek, openeducationweek, opendataday",blogging,websearch
12348870,submitted,6/6/16 20:18,Nigeria,Nigeria,male,bachelors,"undergraduate student, researcher",0-1 years,Medicine/Health Sciences - Clinical medicine,open_access,"openaccessweek, opendataday","advocacy, comms, community, socialmedia, events, volunteers, research","websearch, facebook, organization"
71528099,submitted,6/6/16 20:19,United States of America,United States of America,male,masters,librarian,0-1 years,None of these describe my field of study,open_access,openaccessweek,research,friend
84151534,submitted,6/6/16 20:22,Morocco,Morocco,female,masters,graduate-professonal student,0-1 years,Medicine/Health Sciences - Clinical medicine,open_science,"openaccessweek, openeducationweek","advocacy, blogging, socialmedia, volunteers",organization
62290938,submitted,6/6/16 20:22,Kenya,Kenya,female,none,undergraduate student,0-1 years,Engineering/Technology - Other engineering and technologies,open_government,opendataday,"blogging, comms, community, socialmedia, volunteers, research",blogpost
36228163,submitted,6/6/16 20:23,Nigeria,Nigeria,male,masters,journalist,11-15 years,Social Sciences - Media and communications,open_education,none,"advocacy, community, events, volunteers",organization
80395888,submitted,6/6/16 20:23,Malawi,Malawi,male,bachelors,educator,6-10 years,Natural Sciences - Computer and information sciences,open_access,openaccessweek,"advocacy, community, socialmedia, events, research",mailinglist
